scientific name,vernacular name,link
Melanagromyza azawii,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57061
Melanagromyza bonavistae,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57062
Melanagromyza chalcosoma,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57063
Melanagromyza dolichostigma,Soybean topborer,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57064
Melanagromyza fabae,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57065
Melanagromyza hibisci,Okra petiole maggot,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57066
Melanagromyza koizumii,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57067
Melanagromyza minimoides,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57068
Melanagromyza obtusa,Pigeonpea podfly,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57069
Melanagromyza sojae,Soybean stem miner,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57070
Melanagromyza vignalis,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57071
Napomyza carotae,Carrot mining fly,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57072
Napomyza cichorii,Chicory fly,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57073
Napomyza lateralis,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57110
Nemorimyza maculosa,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57074
Ophiomyia centrosematis,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57075
Ophiomyia lantanae,Lantana pod fly,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57111
Ophiomyia orbiculata,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57076
Ophiomyia phaseoli,Soybean miner,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57112
Ophiomyia pinguis,Chicory fly,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57077
Ophiomyia shibatsujii,Soybean root fly,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57078
Ophiomyia spencerella,Bean stem maggot,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57079
Ophiomyia strigalis,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57080
Ophiomyia vignivora,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57081
Phytobia betulivora,Birch cambium miner,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57082
Phytobia cambii,Cambium mining fly,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57083
Phytobia carbonaria,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57084
Phytobia cerasiferae,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57085
Phytobia pruni,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57086
Phytobia setosa,Red maple cambium borer,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57087
Phytomyza ferulae,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57088
Phytomyza gymnostoma,Leek miner,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57089
Phytomyza ilicicola,Native holly leafminer,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57090
Phytomyza ilicis,Holly fly,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57091
Phytomyza orobanchia,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57092
Phytomyza rufipes,Cabbage leaf miner,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57093
Pseudonapomyza asiatica,Rice leaf miner,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57094
Pseudonapomyza atra,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57095
Pseudonapomyza dilatata,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57096
Pseudonapomyza europaea,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57097
Pseudonapomyza gujaratica,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57098
Pseudonapomyza spicata,Maize leaf miner,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57099
